Satellite1,Satellite2,Distance,Orbit
228,229,1969.9219673693617,10
229,228,1969.9219673693617,10
229,230,1969.9219937391335,10
230,229,1969.9219937391335,10
230,231,1969.921925996197,10
231,230,1969.921925996197,10
231,232,1969.9219903668345,10
232,231,1969.9219903668345,10
232,233,1969.9219832238643,10
233,232,1969.9219832238643,10
233,234,1969.9219929597436,10
234,233,1969.9219929597436,10
234,235,1969.922034591958,10
235,234,1969.922034591958,10
235,236,1969.9219456941728,10
236,235,1969.9219456941728,10
236,237,1969.9219410700548,10
237,236,1969.9219410700548,10
237,238,1969.9220642150965,10
238,237,1969.9220642150965,10
238,239,1969.9220659405323,10
239,238,1969.9220659405323,10
239,240,1969.9219673693622,10
240,239,1969.9219673693622,10
240,241,1969.921993739131,10
241,240,1969.921993739131,10
241,242,1969.9219259961988,10
242,241,1969.9219259961988,10
242,221,1969.9219903668354,10
243,264,1969.9219791773182,11
243,244,1969.9219888123525,11
244,243,1969.9219888123525,11
244,245,1969.922006356182,11
245,244,1969.922006356182,11
245,246,1969.922032100562,11
246,245,1969.922032100562,11
246,247,1969.921958901459,11
247,246,1969.921958901459,11
247,248,1969.9219222565098,11
248,247,1969.9219222565098,11
248,249,1969.9219690551615,11
249,248,1969.9219690551615,11
249,250,1969.922053031354,11
250,249,1969.922053031354,11
250,251,1969.922042784187,11
251,250,1969.922042784187,11
251,252,1969.9219421128523,11
252,251,1969.9219421128523,11
252,253,1969.922010579011,11
253,252,1969.922010579011,11
253,254,1969.9219791773178,11
254,253,1969.9219791773178,11
254,255,1969.9219888123523,11
255,254,1969.9219888123523,11
255,256,1969.922006356182,11
256,255,1969.922006356182,11
256,257,1969.9220321005616,11
257,256,1969.9220321005616,11
257,258,1969.9219589014615,11
258,257,1969.9219589014615,11
258,259,1969.9219222565084,11
259,258,1969.9219222565084,11
259,260,1969.9219690551608,11
260,259,1969.9219690551608,11
260,261,1969.922053031356,11
261,260,1969.922053031356,11
261,262,1969.922042784186,11
262,261,1969.922042784186,11
262,263,1969.9219421128514,11
263,262,1969.9219421128514,11
263,264,1969.922010579011,11
264,263,1969.922010579011,11
264,243,1969.9219791773182,11
265,286,1969.9219322424722,12
265,266,1969.9220362516537,12
266,265,1969.9220362516537,12
266,267,1969.922009685165,12
267,266,1969.922009685165,12
267,268,1969.9219705068926,12
268,267,1969.9219705068926,12
268,269,1969.9219679818357,12
269,268,1969.9219679818357,12
269,270,1969.9219639988646,12
270,269,1969.9219639988646,12
270,271,1969.9220547669017,12
271,270,1969.9220547669017,12
271,272,1969.92200496971,12
272,271,1969.92200496971,12
272,273,1969.9219207262172,12
273,272,1969.9219207262172,12
273,274,1969.9219737539242,12
274,273,1969.9219737539242,12
274,275,1969.9220702833115,12
275,274,1969.9220702833115,12
275,276,1969.9219322424728,12
276,275,1969.9219322424728,12
276,277,1969.9220362516526,12
277,276,1969.9220362516526,12
277,278,1969.922009685166,12
278,277,1969.922009685166,12
278,279,1969.9219705068924,12
279,278,1969.9219705068924,12
279,280,1969.9219679818357,12
280,279,1969.9219679818357,12
280,281,1969.9219639988646,12
281,280,1969.9219639988646,12
281,282,1969.9220547669017,12
282,281,1969.9220547669017,12
282,283,1969.92200496971,12
283,282,1969.92200496971,12
283,284,1969.921920726218,12
284,283,1969.921920726218,12
284,285,1969.9219737539233,12
285,284,1969.9219737539233,12
285,286,1969.9220702833115,12
286,285,1969.9220702833115,12
286,265,1969.9219322424722,12
287,308,1969.921971297368,13
287,288,1969.921993665172,13
288,287,1969.921993665172,13
288,289,1969.9219902323853,13
289,288,1969.9219902323853,13
289,290,1969.922025813774,13
290,289,1969.922025813774,13
290,291,1969.921960143691,13
291,290,1969.921960143691,13
291,292,1969.9220508490057,13
292,291,1969.9220508490057,13
292,293,1969.9219203880757,13
